,date,SPY,KLAC,DAIO,ADBE,HCSG,HOLX,CSCO,SEIC,KTCC,CTAS,XLNX,CELG,TROW,LYTS,LRCX
0,11/3/14,190.70874,79.97,3.42,69.8,30.19,26.865,24.5001,38.265,8.45,72.64,44.3,107.08,81.8931,6.98,78.94
1,11/4/14,190.047104,80.26,3.45,70.96,30.27,27.06,24.833,38.63,8.75,71.695,43.73,105.83,82.84,7.17,79.53
2,11/5/14,191.247437,81.03,3.346,71.22,30.38,26.47,25.115,38.62,8.84,70.47,44.0675,104.52,82.975,7.17,79.49
3,11/6/14,192.013077,80.91,3.1999,72.15,30.75,26.55,25.2435,38.92,8.82,71,44.06,106.67,82.02,7.15,79.32
4,11/7/14,192.192642,79.72,3.35,71.51,30.64,26.18,25.25,39.145,8.6123,71.075,43.49,106.15,82.97,6.76,78.65
5,11/10/14,192.797531,80.5,3.2064,71.68,30.65,26.52,25.135,39.35,8.78,71.135,43.64,107.97,82.8,7.39,79.89
6,11/11/14,192.986572,80.04,3.22,71.68,30.98,26.52,25.06,39.49,8.689,70.98,43.32,107.45,82.96,7.21,80.02
7,11/12/14,192.778671,79.72,3.18,71.5501,31.05,26.61,24.965,39.51,8.57,71.3925,43.33,108.35,82.63,7.26,79.05
8,11/13/14,192.996063,79.39,3.19,71.67,30.68,26.48,25.63,39.55,8.63,71.28,42.86,107.01,82.47,7.1,78.49
9,11/14/14,193.043335,80.24,3.2544,71.46,30.4,26.315,26.305,39.25,8.565,71.85,43.58,103.96,82.13,7.08,79.75
10,11/17/14,193.166183,78.92,3.35,70.08,30.06,26.32,26.53,38.99,8.57,71.79,43.41,104.33,81.89,6.79,77.77
11,11/18/14,194.281494,80.88,3.39,70.83,30.3997,26.67,26.69,38.995,8.3,72.06,44.42,106.685,82.2001,6.75,79.55
12,11/19/14,193.969589,81.06,3.5032,70.74,29.99,26.32,26.59,38.81,8.1001,71.87,44.225,107.02,82,6.63,78.5
13,11/20/14,194.30986,81.21,3.49,70.4,29.8,26.4,26.815,38.73,8.16,72.015,44.25,107.18,82.06,6.75,78.5905
14,11/21/14,195.349518,81.2,3.48,71.435,30,26.525,26.8321,39.08,8.3001,72.01,44.79,108.39,82.76,6.93,78.7575
15,11/24/14,195.897736,83.69,3.4,71.2,30.31,26.62,26.985,39.65,8.2,72.78,44.66,110.67,83.1442,6.945,80.12
16,11/25/14,195.755997,84.03,3.57,72.17,30.2,26.6,27.269,39.59,8.164,73.09,44.5,111.123,83.32,7,80.825
17,11/26/14,196.256912,67.18,3.62,72.9064,30.25,26.45,27.44,39.6,8.12,73.08,45.431,112.36,83.09,6.84,81.99
18,11/28/14,195.841049,69.21,3.68,73.6906,30.1564,26.8054,27.54,39.6379,8.22,73.151,45.44,113.21,83.471,6.7392,82.7712
